,ID,NAME,COORD
0,stop_area:OCE:SA:87110288, (Joué-lès-Tours),"{'lat': '47.34836', 'lon': '0.660652'}"
1,stop_area:OCE:SA:87279166, (Niherne),"{'lat': '46.834999', 'lon': '1.565542'}"
2,stop_area:OCE:SA:87286740, (Tressin),"{'lat': '50.611568', 'lon': '3.189764'}"
3,stop_area:OCE:SA:87286781, (Cysoing),"{'lat': '50.560597', 'lon': '3.211275'}"
4,stop_area:OCE:SA:87286807, (Genech),"{'lat': '50.528445', 'lon': '3.220961'}"
5,stop_area:OCE:SA:87287219, (Anstaing),"{'lat': '50.603891', 'lon': '3.193467'}"
6,stop_area:OCE:SA:87287235, (Cysoing),"{'lat': '50.573148', 'lon': '3.20231'}"
7,stop_area:OCE:SA:87287243, (Genech),"{'lat': '50.538127', 'lon': '3.219541'}"
8,stop_area:OCE:SA:87644112, (Courçay),"{'lat': '47.219605', 'lon': '0.8811870000000001'}"
9,stop_area:OCE:SA:87689737, (Tours),"{'lat': '47.394142', 'lon': '0.671523'}"
10,stop_area:OCE:SA:87699298,,"{'lat': '0', 'lon': '0'}"
11,stop_area:OCE:SA:00,.,"{'lat': '27.141247', 'lon': '-3.404382'}"
12,stop_area:OCE:SA:80153452,Aachen/Aix la Chapelle (Aachen),"{'lat': '50.767759', 'lon': '6.091215'}"
13,stop_area:OCE:SA:87313759,Abancourt (Abancourt),"{'lat': '49.685665', 'lon': '1.77418'}"
14,stop_area:OCE:SA:87481614,Abbaretz (Abbaretz),"{'lat': '47.55523', 'lon': '-1.524196'}"
15,stop_area:OCE:SA:87317362,Abbeville (Abbeville),"{'lat': '50.102194', 'lon': '1.824486'}"
16,stop_area:OCE:SA:87545269,Ablon (Ablon-sur-Seine),"{'lat': '48.725377', 'lon': '2.419245'}"
17,stop_area:OCE:SA:87191403,Aboncourt (Aboncourt),"{'lat': '49.261034', 'lon': '6.346529'}"
18,stop_area:OCE:SA:87721944,Abrest Mairie (Abrest),"{'lat': '46.098866', 'lon': '3.444789'}"
19,stop_area:OCE:SA:87677252,Accolay-Le-Pont (Deux Rivières),"{'lat': '47.659446', 'lon': '3.713922'}"
20,stop_area:OCE:SA:87386052,Achères-Grand-Cormier (Saint-Germain-en-Laye),"{'lat': '48.955163', 'lon': '2.09194'}"
21,stop_area:OCE:SA:87381657,Achères-Ville (Achères),"{'lat': '48.969341', 'lon': '2.077786'}"
22,stop_area:OCE:SA:87342048,Achiet (Achiet-le-Grand),"{'lat': '50.131685', 'lon': '2.78014'}"
23,stop_area:OCE:SA:87658856,Adamswiller Lot. forêt. (Adamswiller),"{'lat': '48.905629', 'lon': '7.208236'}"
24,stop_area:OCE:SA:87658922,Adamswiller-(Mairie). (Adamswiller),"{'lat': '48.903847', 'lon': '7.201171'}"
